candidate_id,raw_detection_id,confidence,source_detection_count,tile_name,prediction_index,width_m,height_m,box_area_m2,map_x_min,map_y_min,map_x_max,map_y_max,advisor_label,advisor_notes
C3430,R0199,0.1156424880027771,1,38SMB_00057_r240_c3600,4,749.7267913818359,426.279296875,319593.00947859883,436067.08724975586,3694402.1014404297,436816.8140411377,3694828.3807373047,,
C3431,R4158,0.1155968457460403,1,38SMB_01514_r8640_c480,0,653.3275985717773,581.1444091796875,379677.6812727796,405351.09088897705,3611501.1151123047,406004.4184875488,3612082.2595214844,,
C3432,R0849,0.1155755668878555,1,38SMB_00422_r2400_c480,5,732.6025390625,941.5776062011719,689802.1450273693,404800.0,3675053.24508667,405532.6025390625,3675994.822692871,,
C3433,R4777,0.1155341565608978,1,38SMB_01684_r9600_c960,2,516.2413024902344,300.1259231567383,154937.39748151856,412095.4164123535,3603699.8658561707,412611.65771484375,3603999.9917793274,,
C3434,R2305,0.1154687404632568,1,38SMB_01001_r5520_c8400,2,159.425048828125,359.89261627197266,57375.897922040895,487039.8944091797,3643949.638824463,487199.3194580078,3644309.531440735,,
C3435,R3441,0.1154422983527183,1,38SMB_01342_r7440_c9600,8,509.6387481689453,567.7166748046875,289330.41546209715,496000.1459121704,3622400.0,496509.78466033936,3622967.7166748047,,
C3436,R1833,0.1154151782393455,1,38SMB_00771_r4320_c3600,11,442.47636795043945,444.6820068359375,196761.2792776781,436238.5754966736,3654824.5516967773,436681.051864624,3655269.2337036133,,
C3437,R0134,0.1153270453214645,1,38SMB_00044_r240_c480,4,725.8819580078125,163.25927734375,118506.96390122175,406625.4064941406,3694400.4486083984,407351.28845214844,3694563.707885742,,
C3438,R3730,0.1153261214494705,2,38SMB_01401_r7920_c3600,12,511.81928634643555,577.437744140625,295543.77411555033,436159.83781814575,3619280.6994628906,436671.6571044922,3619858.1372070312,,
C3439,R0943,0.1153137162327766,1,38SMB_00438_r2400_c4320,8,186.72176361083984,445.4217529296875,83169.93525766302,443200.0,3673456.946411133,443386.72176361084,3673902.3681640625,,
C3440,R4284,0.1153054535388946,1,38SMB_01540_r8640_c6720,2,477.21832275390625,535.631103515625,255612.9768345505,468510.1435852051,3611514.1592407227,468987.361907959,3612049.7903442383,,
C3441,R0506,0.1152716055512428,1,38SMB_00258_r1440_c1440,3,323.4513854980469,553.072509765625,178892.06956457347,414400.29850006104,3683734.7494506836,414723.7498855591,3684287.821960449,,
C3442,R2136,0.1152486503124237,1,38SMB_00900_r5040_c4320,4,475.12359619140625,455.0301933288574,216195.58183007757,444658.70391845703,3648826.767425537,445133.82751464844,3649281.797618866,,
C3443,R2854,0.115234263241291,1,38SMB_01194_r6720_c4320,11,498.8836669921875,571.6583251953125,285191.0015400499,444173.7724304199,3631358.016052246,444672.6560974121,3631929.6743774414,,
C3444,R4055,0.1152198761701583,1,38SMB_01480_r8400_c2400,3,1497.0809936523438,1451.455078125,2172945.810601115,425702.91900634766,3612800.0,427200.0,3614251.455078125,,
C3445,R2790,0.1152050420641899,2,38SMB_01181_r6720_c1200,2,582.5288391113281,272.65161514282227,158827.42885097687,412016.22413635254,3632527.348384857,412598.75297546387,3632800.0,,
C3446,R0615,0.1151493489742279,2,38SMB_00304_r1680_c2400,2,427.6406669616699,429.1242980957031,183511.00104710495,424275.2216529846,3681832.874145508,424702.8623199463,3682261.9984436035,,
C3447,R0256,0.1151362285017967,1,38SMB_00093_r480_c2160,6,116.05224609375,567.8729248046875,65902.92841941118,424683.50311279297,3692373.1829833984,424799.5553588867,3692941.055908203,,
C3448,R0564,0.1150892674922943,1,38SMB_00294_r1680_c0,6,1082.7466583251953,1129.609375,1223080.7759940624,400774.027633667,3680335.924682617,401856.7742919922,3681465.534057617,,
C3449,R4308,0.1150743141770362,1,38SMB_01560_r8880_c1440,1,1235.1152038574219,1355.8354949951172,1674613.0337980227,414400.0,3609175.930786133,415635.1152038574,3610531.766281128,,
C3450,R1991,0.1150676533579826,1,38SMB_00840_r4800_c0,1,427.19879150390625,428.7408447265625,183157.57073555142,401088.90533447266,3649656.7651367188,401516.10412597656,3650085.5059814453,,
C3451,R4762,0.1150045916438102,2,38SMB_01670_r9360_c7680,2,329.25445556640625,330.975341796875,108975.1059692353,477563.7545776367,3603446.644897461,477893.0090332031,3603777.620239258,,
C3452,R4903,0.1148902028799057,1,38SMB_01706_r9600_c6240,2,483.4326171875,486.6569519042969,235265.84393158555,464684.33990478516,3602785.862197876,465167.77252197266,3603272.5191497803,,
C3453,R1968,0.1148332059383392,1,38SMB_00820_r4560_c5280,2,211.48529052734375,466.2847137451172,98612.35815484542,455788.51470947266,3653933.715286255,456000.0,3654400.0,,
C3454,R1897,0.1147746071219444,1,38SMB_00806_r4560_c1920,0,752.9620361328125,1328.9535522460938,1000651.5726251528,421644.83825683594,3651736.8438720703,422397.80029296875,3653065.7974243164,,
C3455,R3900,0.1147729605436325,1,38SMB_01440_r8160_c2880,4,141.01505279541016,709.8395538330078,100098.06216003199,428800.3377914429,3616562.268371582,428941.3528442383,3617272.107925415,,
C3456,R2425,0.1146653145551681,1,38SMB_01045_r5760_c8880,8,1091.8296813964844,1150.1560974121094,1255774.5653936872,490899.5014953613,3641249.843902588,491991.3311767578,3642400.0,,
C3457,R1187,0.1146598979830741,1,38SMB_00527_r2880_c5520,3,859.7628784179688,880.7162475585938,757207.1360704489,457139.5950317383,3669262.949066162,457999.35791015625,3670143.6653137207,,
C3458,R2071,0.1145495697855949,1,38SMB_00870_r4800_c7200,4,335.24932861328125,368.8775634765625,123665.95549602062,473444.9562072754,3650769.1801452637,473780.2055358887,3651138.0577087402,,
C3459,R2309,0.1145331263542175,1,38SMB_01002_r5520_c8640,3,423.558349609375,451.978759765625,191439.3775448203,488998.3728027344,3642262.169494629,489421.93115234375,3642714.1482543945,,
C3460,R3620,0.1145198717713356,1,38SMB_01377_r7680_c7920,4,331.82525634765625,312.6518249511719,103745.77196198516,480519.35607910156,3622217.761001587,480851.1813354492,3622530.412826538,,
C3461,R2991,0.1144599393010139,1,38SMB_01238_r6960_c4800,3,528.4109497070312,822.4331665039062,434582.69058289006,450671.58905029297,3629275.728302002,451200.0,3630098.161468506,,
C3462,R1895,0.114445723593235,1,38SMB_00787_r4320_c7440,1,361.1191940307617,418.6187744140625,151171.2744225515,474400.80516815186,3653600.5541992188,474761.9243621826,3654019.172973633,,
C3463,R1039,0.114439733326435,1,38SMB_00471_r2640_c2160,8,189.06457901000977,413.5382080078125,78185.42720155092,421600.4645729065,3671437.8173828125,421789.5291519165,3671851.3555908203,,
C3464,R4454,0.1144138351082801,1,38SMB_01588_r8880_c8160,2,580.06103515625,595.3546142578125,345342.01383143663,483437.55798339844,3609069.426879883,484017.6190185547,3609664.7814941406,,
C3465,R4056,0.1143706515431404,1,38SMB_01480_r8400_c2400,4,790.4293823242188,814.2100524902344,643575.5488720257,426130.52642822266,3614331.392211914,426920.9558105469,3615145.6022644043,,
C3466,R4823,0.1143549531698226,1,38SMB_01690_r9600_c2400,2,719.0362548828125,313.3892822265625,225338.25581260026,424787.6219177246,3600800.0,425506.6581726074,3601113.3892822266,,
C3467,R3831,0.1142475381493568,1,38SMB_01426_r7920_c9600,7,83.5675048828125,522.5640869140625,43669.37688477337,499116.4324951172,3619441.3607788086,499200.0,3619963.9248657227,,
C3468,R3698,0.1141329482197761,1,38SMB_01397_r7920_c2640,0,620.9652709960938,491.6468048095703,305295.59138293844,428611.44958496094,3620308.3531951904,429232.41485595703,3620800.0,,
