candidate_id,kept_raw_detection_id,suppressed_raw_detection_id,suppressed_tile_name,suppressed_confidence,iou_with_kept_candidate
C0203,R3218,R3048,38SMB_01254_r6960_c8640,0.6990522742271423,0.9483978760655217
C0204,R1070,R1164,38SMB_00523_r2880_c4560,0.7064313888549805,0.9887280710100979
C0204,R1070,R1077,38SMB_00482_r2640_c4800,0.706009566783905,0.9406717345084308
C0204,R1070,R1168,38SMB_00524_r2880_c4800,0.7018594741821289,0.9612194360700042
C0205,R0643,R0650,38SMB_00339_r1920_c720,0.6864051222801208,0.9226420326462386
C0206,R1236,R1239,38SMB_00558_r3120_c2880,0.7051857709884644,0.9876638850161387
C0209,R3819,R3825,38SMB_01426_r7920_c9600,0.6984763145446777,0.9837746059158665
C0211,R3322,R3326,38SMB_01319_r7440_c4080,0.6638206839561462,0.7103098860634928
C0212,R0036,R0022,38SMB_00003_r0_c720,0.5877687931060791,0.7084911698858659
C0214,R0676,R0585,38SMB_00302_r1680_c1920,0.6926472783088684,0.9898539132891827
C0216,R2732,R2723,38SMB_01153_r6480_c4560,0.6312140822410583,0.8364242595734293
C0218,R1157,R1165,38SMB_00523_r2880_c4560,0.6535040736198425,0.895937112780773
C0220,R3966,R3779,38SMB_01413_r7920_c6480,0.6842464208602905,0.951697802953299
C0222,R3719,R3518,38SMB_01359_r7680_c3600,0.6432978510856628,0.9298878154206162
C0226,R4679,R4669,38SMB_01649_r9360_c2640,0.6901752352714539,0.8040711281442505
C0228,R2606,R2599,38SMB_01111_r6240_c4560,0.5310129523277283,0.7881360004490371
C0228,R2606,R2737,38SMB_01154_r6480_c4800,0.471741110086441,0.7291127372675066
C0230,R1616,R1496,38SMB_00656_r3600_c6240,0.6962928771972656,0.8317617412279893
C0231,R0068,R0078,38SMB_00008_r0_c1920,0.6896902918815613,0.9711588219566332
C0231,R0068,R0183,38SMB_00050_r240_c1920,0.6658203601837158,0.9487389804189479
C0231,R0068,R0176,38SMB_00049_r240_c1680,0.6590113043785095,0.9494126475208698
C0232,R0919,R1049,38SMB_00474_r2640_c2880,0.6560566425323486,0.9766801583127974
C0233,R3323,R3311,38SMB_01317_r7440_c3600,0.6547689437866211,0.9148687812067706
C0234,R1960,R1949,38SMB_00818_r4560_c4800,0.6805457472801208,0.7738395963265087
C0235,R2473,R2598,38SMB_01111_r6240_c4560,0.6912552118301392,0.9800312349392791
C0237,R2466,R2474,38SMB_01069_r6000_c4560,0.6927141547203064,0.9679717769747754
C0239,R1604,R1612,38SMB_00696_r3840_c5760,0.6807385087013245,0.8053730220293572
C0241,R0467,R0473,38SMB_00228_r1200_c4320,0.6741090416908264,0.8971477650528835
C0247,R1681,R1671,38SMB_00726_r4080_c2880,0.6856025457382202,0.984868253192197
C0254,R3747,R3540,38SMB_01362_r7680_c4320,0.685404360294342,0.8644612212284762
C0260,R2843,R2713,38SMB_01152_r6480_c4320,0.673058807849884,0.969633446896189
C0264,R3784,R3788,38SMB_01415_r7920_c6960,0.6544715762138367,0.8852591741414391
C0266,R4928,R4797,38SMB_01688_r9600_c1920,0.6839266419410706,0.9945356670117872
C0266,R4928,R4939,38SMB_01731_r9680_c2160,0.5123201012611389,0.8248371856340819
C0266,R4928,R4805,38SMB_01689_r9600_c2160,0.5119172930717468,0.8248534073504555
C0267,R4032,R3860,38SMB_01432_r8160_c960,0.6836402416229248,0.9643822168698944
C0270,R4890,R4894,38SMB_01705_r9600_c6000,0.652073860168457,0.8828371596230984
C0270,R4890,R5024,38SMB_01746_r9680_c5760,0.6038041114807129,0.762877607129116
C0270,R4890,R5028,38SMB_01747_r9680_c6000,0.5512784719467163,0.7183814366041927
C0277,R3637,R3647,38SMB_01385_r7680_c9680,0.6777827739715576,0.998358113122283
C0277,R3637,R3835,38SMB_01427_r7920_c9680,0.6121648550033569,0.7874605164964152
C0277,R3637,R3827,38SMB_01426_r7920_c9600,0.6121538877487183,0.7872047361972185
C0281,R2579,R2574,38SMB_01107_r6240_c3600,0.6127578020095825,0.779988867852742
C0282,R3160,R3152,38SMB_01281_r7200_c5040,0.6596575379371643,0.870349533484331
C0282,R3160,R3354,38SMB_01323_r7440_c5040,0.5523777008056641,0.7343082361180334
C0282,R3160,R3362,38SMB_01324_r7440_c5280,0.5389782786369324,0.7677422974117573
C0283,R0288,R0235,38SMB_00089_r480_c1200,0.6558731198310852,0.9285300877409657
C0284,R1542,R1560,38SMB_00686_r3840_c3360,0.5389173626899719,0.7207489689867513
