tile_name,ground_truth_boxes,predicted_boxes,true_positives,false_positives,false_negatives,maximum_true_positive_confidence,maximum_false_positive_confidence
test_0269_r4080_c10662,0,0,0,0,0,0.0,0.0
test_0270_r4320_c7353,2,3,2,1,0,0.4001521170139313,0.225248321890831
test_0271_r4320_c7593,1,2,1,1,0,0.8037102222442627,0.32150721549987793
test_0272_r4320_c7833,0,0,0,0,0,0.0,0.0
test_0273_r4320_c8073,0,0,0,0,0,0.0,0.0
test_0274_r4320_c8313,0,0,0,0,0,0.0,0.0
test_0275_r4320_c8553,0,0,0,0,0,0.0,0.0
test_0276_r4320_c8793,0,0,0,0,0,0.0,0.0
test_0277_r4320_c9033,0,0,0,0,0,0.0,0.0
test_0278_r4320_c9273,0,0,0,0,0,0.0,0.0
test_0279_r4320_c9513,0,0,0,0,0,0.0,0.0
test_0280_r4320_c9753,0,0,0,0,0,0.0,0.0
test_0281_r4320_c9993,0,0,0,0,0,0.0,0.0
test_0282_r4320_c10233,0,0,0,0,0,0.0,0.0
test_0283_r4320_c10473,0,0,0,0,0,0.0,0.0
test_0284_r4320_c10662,0,0,0,0,0,0.0,0.0
test_0285_r4560_c7353,1,3,1,2,0,0.10688184946775436,0.2275538295507431
test_0286_r4560_c7593,1,0,0,0,1,0.0,0.0
test_0287_r4560_c7833,0,0,0,0,0,0.0,0.0
test_0288_r4560_c8073,0,0,0,0,0,0.0,0.0
test_0289_r4560_c8313,0,0,0,0,0,0.0,0.0
test_0290_r4560_c8553,0,0,0,0,0,0.0,0.0
test_0291_r4560_c8793,0,0,0,0,0,0.0,0.0
test_0292_r4560_c9033,0,0,0,0,0,0.0,0.0
test_0293_r4560_c9273,0,0,0,0,0,0.0,0.0
test_0294_r4560_c9513,0,0,0,0,0,0.0,0.0
test_0295_r4560_c9753,0,0,0,0,0,0.0,0.0
test_0296_r4560_c9993,0,2,0,2,0,0.0,0.17913509905338287
test_0297_r4560_c10233,1,1,1,0,0,0.19154541194438934,0.0
test_0298_r4560_c10473,0,0,0,0,0,0.0,0.0
test_0299_r4560_c10662,0,0,0,0,0,0.0,0.0
test_0300_r4800_c7353,0,0,0,0,0,0.0,0.0
test_0301_r4800_c7593,0,0,0,0,0,0.0,0.0
test_0302_r4800_c7833,0,0,0,0,0,0.0,0.0
test_0303_r4800_c8073,0,0,0,0,0,0.0,0.0
test_0304_r4800_c8313,0,0,0,0,0,0.0,0.0
test_0305_r4800_c8553,0,0,0,0,0,0.0,0.0
test_0306_r4800_c8793,0,0,0,0,0,0.0,0.0
test_0307_r4800_c9033,0,0,0,0,0,0.0,0.0
test_0308_r4800_c9273,0,0,0,0,0,0.0,0.0
test_0309_r4800_c9513,0,1,0,1,0,0.0,0.16302581131458282
test_0310_r4800_c9753,0,0,0,0,0,0.0,0.0
test_0311_r4800_c9993,1,1,1,0,0,0.3967313766479492,0.0
test_0312_r4800_c10233,1,2,1,1,0,0.3884934186935425,0.10011202096939087
test_0313_r4800_c10473,0,0,0,0,0,0.0,0.0
test_0314_r4800_c10662,0,0,0,0,0,0.0,0.0
test_0315_r5040_c7353,3,0,0,0,3,0.0,0.0
test_0316_r5040_c7593,0,0,0,0,0,0.0,0.0
test_0317_r5040_c7833,0,0,0,0,0,0.0,0.0
test_0318_r5040_c8073,0,0,0,0,0,0.0,0.0
test_0319_r5040_c8313,0,0,0,0,0,0.0,0.0
test_0320_r5040_c8553,0,0,0,0,0,0.0,0.0
test_0321_r5040_c8793,0,0,0,0,0,0.0,0.0
test_0322_r5040_c9033,0,0,0,0,0,0.0,0.0
test_0323_r5040_c9273,0,1,0,1,0,0.0,0.1309833526611328
test_0324_r5040_c9513,0,1,0,1,0,0.0,0.1474699079990387
test_0325_r5040_c9753,0,0,0,0,0,0.0,0.0
test_0326_r5040_c9993,0,1,0,1,0,0.0,0.10736991465091705
test_0327_r5040_c10233,0,0,0,0,0,0.0,0.0
test_0328_r5040_c10473,1,1,1,0,0,0.3175566792488098,0.0
test_0329_r5040_c10662,1,2,1,1,0,0.4168066084384918,0.16038581728935242
test_0330_r5280_c7353,1,3,1,2,0,0.6348706483840942,0.1891842484474182
test_0331_r5280_c7593,1,2,0,2,1,0.0,0.25966060161590576
test_0332_r5280_c7833,0,0,0,0,0,0.0,0.0
test_0333_r5280_c8073,0,0,0,0,0,0.0,0.0
test_0334_r5280_c8313,0,0,0,0,0,0.0,0.0
test_0335_r5280_c8553,0,0,0,0,0,0.0,0.0
test_0336_r5280_c8793,0,0,0,0,0,0.0,0.0
test_0337_r5280_c9033,0,0,0,0,0,0.0,0.0
test_0338_r5280_c9273,0,1,0,1,0,0.0,0.14364255964756012
test_0339_r5280_c9513,0,1,0,1,0,0.0,0.15210320055484772
test_0340_r5280_c9753,0,0,0,0,0,0.0,0.0
test_0341_r5280_c9993,0,0,0,0,0,0.0,0.0
test_0342_r5280_c10233,0,0,0,0,0,0.0,0.0
test_0343_r5280_c10473,0,0,0,0,0,0.0,0.0
test_0344_r5280_c10662,0,0,0,0,0,0.0,0.0
test_0345_r5520_c7353,1,5,1,4,0,0.6468048691749573,0.2083311527967453
test_0346_r5520_c7593,2,3,1,2,1,0.44991713762283325,0.2720361649990082
test_0347_r5520_c7833,0,0,0,0,0,0.0,0.0
test_0348_r5520_c8073,0,0,0,0,0,0.0,0.0
test_0349_r5520_c8313,0,0,0,0,0,0.0,0.0
test_0350_r5520_c8553,0,0,0,0,0,0.0,0.0
test_0351_r5520_c8793,0,0,0,0,0,0.0,0.0
test_0352_r5520_c9033,0,0,0,0,0,0.0,0.0
test_0353_r5520_c9273,0,0,0,0,0,0.0,0.0
test_0354_r5520_c9513,0,0,0,0,0,0.0,0.0
test_0355_r5520_c9753,0,0,0,0,0,0.0,0.0
test_0356_r5520_c9993,0,0,0,0,0,0.0,0.0
test_0357_r5520_c10233,0,0,0,0,0,0.0,0.0
test_0358_r5520_c10473,0,0,0,0,0,0.0,0.0
test_0359_r5520_c10662,0,0,0,0,0,0.0,0.0
test_0360_r5760_c7353,1,0,0,0,1,0.0,0.0
test_0361_r5760_c7593,1,0,0,0,1,0.0,0.0
test_0362_r5760_c7833,2,0,0,0,2,0.0,0.0
test_0363_r5760_c8073,0,0,0,0,0,0.0,0.0
test_0364_r5760_c8313,0,0,0,0,0,0.0,0.0
test_0365_r5760_c8553,0,0,0,0,0,0.0,0.0
test_0366_r5760_c8793,0,0,0,0,0,0.0,0.0
test_0367_r5760_c9033,0,0,0,0,0,0.0,0.0
test_0368_r5760_c9273,0,0,0,0,0,0.0,0.0
test_0369_r5760_c9513,0,0,0,0,0,0.0,0.0
test_0370_r5760_c9753,0,0,0,0,0,0.0,0.0
test_0371_r5760_c9993,0,0,0,0,0,0.0,0.0
test_0372_r5760_c10233,0,0,0,0,0,0.0,0.0
test_0373_r5760_c10473,0,0,0,0,0,0.0,0.0
test_0374_r5760_c10662,0,0,0,0,0,0.0,0.0
test_0375_r6000_c7353,0,1,0,1,0,0.0,0.5113539695739746
test_0376_r6000_c7593,0,0,0,0,0,0.0,0.0
test_0377_r6000_c7833,2,0,0,0,2,0.0,0.0
test_0378_r6000_c8073,0,0,0,0,0,0.0,0.0
test_0379_r6000_c8313,0,0,0,0,0,0.0,0.0
test_0380_r6000_c8553,0,0,0,0,0,0.0,0.0
test_0381_r6000_c8793,0,3,0,3,0,0.0,0.32883939146995544
test_0382_r6000_c9033,0,0,0,0,0,0.0,0.0
test_0383_r6000_c9273,0,0,0,0,0,0.0,0.0
test_0384_r6000_c9513,0,0,0,0,0,0.0,0.0
test_0385_r6000_c9753,0,0,0,0,0,0.0,0.0
test_0386_r6000_c9993,0,0,0,0,0,0.0,0.0
test_0387_r6000_c10233,0,0,0,0,0,0.0,0.0
test_0388_r6000_c10473,0,1,0,1,0,0.0,0.23074741661548615
test_0389_r6000_c10662,0,1,0,1,0,0.0,0.1673785001039505
test_0390_r6240_c7353,0,1,0,1,0,0.0,0.4855959713459015
test_0391_r6240_c7593,0,0,0,0,0,0.0,0.0
test_0392_r6240_c7833,0,0,0,0,0,0.0,0.0
test_0393_r6240_c8073,0,0,0,0,0,0.0,0.0
test_0394_r6240_c8313,0,0,0,0,0,0.0,0.0
test_0395_r6240_c8553,0,0,0,0,0,0.0,0.0
test_0396_r6240_c8793,0,2,0,2,0,0.0,0.2193172574043274
test_0397_r6240_c9033,0,0,0,0,0,0.0,0.0
test_0398_r6240_c9273,0,0,0,0,0,0.0,0.0
test_0399_r6240_c9513,0,0,0,0,0,0.0,0.0
test_0400_r6240_c9753,0,0,0,0,0,0.0,0.0
test_0401_r6240_c9993,0,0,0,0,0,0.0,0.0
test_0402_r6240_c10233,0,0,0,0,0,0.0,0.0
test_0403_r6240_c10473,0,1,0,1,0,0.0,0.2469947636127472
test_0404_r6240_c10662,0,1,0,1,0,0.0,0.1923791915178299
test_0405_r6480_c7353,0,0,0,0,0,0.0,0.0
test_0406_r6480_c7593,0,0,0,0,0,0.0,0.0
test_0407_r6480_c7833,0,0,0,0,0,0.0,0.0
test_0408_r6480_c8073,0,0,0,0,0,0.0,0.0
test_0409_r6480_c8313,0,0,0,0,0,0.0,0.0
test_0410_r6480_c8553,0,1,0,1,0,0.0,0.13501068949699402
test_0411_r6480_c8793,0,1,0,1,0,0.0,0.14636625349521637
test_0412_r6480_c9033,0,0,0,0,0,0.0,0.0
test_0413_r6480_c9273,0,0,0,0,0,0.0,0.0
test_0414_r6480_c9513,0,0,0,0,0,0.0,0.0
test_0415_r6480_c9753,0,0,0,0,0,0.0,0.0
test_0416_r6480_c9993,0,0,0,0,0,0.0,0.0
test_0417_r6480_c10233,0,0,0,0,0,0.0,0.0
test_0418_r6480_c10473,0,0,0,0,0,0.0,0.0
test_0419_r6480_c10662,0,0,0,0,0,0.0,0.0
test_0420_r6720_c7353,0,0,0,0,0,0.0,0.0
test_0421_r6720_c7593,1,0,0,0,1,0.0,0.0
test_0422_r6720_c7833,0,0,0,0,0,0.0,0.0
test_0423_r6720_c8073,0,0,0,0,0,0.0,0.0
test_0424_r6720_c8313,0,0,0,0,0,0.0,0.0
test_0425_r6720_c8553,0,0,0,0,0,0.0,0.0
test_0426_r6720_c8793,0,0,0,0,0,0.0,0.0
test_0427_r6720_c9033,0,3,0,3,0,0.0,0.12993085384368896
test_0428_r6720_c9273,0,0,0,0,0,0.0,0.0
test_0429_r6720_c9513,0,0,0,0,0,0.0,0.0
test_0430_r6720_c9753,0,0,0,0,0,0.0,0.0
