polygon_id,area_m2,tile_instances,matched_instances,detected,maximum_matched_confidence,maximum_matched_iou,size_class
534,122733.54669005542,4,4,True,0.5664408206939697,0.6887300466000695,medium
542,9481.965495626553,1,0,False,,,small
548,11369.273596435154,2,0,False,,,small
549,14096.085042464936,2,0,False,,,small
550,33928.61806307524,1,0,False,,,medium
552,4809.016994377382,1,0,False,,,small
557,49628.02272572987,2,0,False,,,medium
575,86987.32949098638,1,1,True,0.1235276386141777,0.6515793672313963,medium
592,146236.54469368432,1,0,False,,,large
609,32303.363352227047,1,0,False,,,medium
613,60193.21120571655,1,0,False,,,medium
616,160493.00407867227,2,0,False,,,large
626,92996.3902125538,2,0,False,,,medium
632,50060.70338776474,2,1,True,0.1050079837441444,0.5377033539694304,medium
637,12543.509956889877,2,0,False,,,small
642,5509.016994377382,1,0,False,,,small
646,70288.58847163118,2,0,False,,,medium
653,5509.016994377382,1,0,False,,,small
664,85730.83836167824,4,0,False,,,medium
667,51092.25504954303,1,0,False,,,medium
669,211492.11326959476,2,1,True,0.1292416006326675,0.5768222794079892,large
688,120514.27210513178,2,0,False,,,medium
692,354238.0185711269,2,1,True,0.1671973615884781,0.5778729455263506,large
704,4809.016994377382,1,0,False,,,small
715,36169.32104806138,1,0,False,,,medium
725,127486.96923299354,2,0,False,,,medium
729,11671.72936705498,1,0,False,,,small
759,113685.57999551148,2,2,True,0.1839348673820495,0.7830187896920662,medium
770,6223.106125343956,2,0,False,,,small
779,157108.19841968382,1,1,True,0.5045565366744995,0.6887761620119476,large
798,186136.85268261522,4,4,True,0.1448721587657928,0.5853139494191153,large
799,48000.99896529167,1,0,False,,,medium
803,113037.4722086421,2,1,True,0.1564393639564514,0.5550075681852281,medium
809,100803.50005308313,2,0,False,,,medium
812,153470.31083929213,1,1,True,0.2786603271961212,0.6684537121706989,large
817,112551.18261730163,2,0,False,,,medium
819,221643.11042353124,1,0,False,,,large
824,33287.39265307557,2,0,False,,,medium
843,8043.315808462221,2,0,False,,,small
844,7566.061559860668,1,0,False,,,small
846,71573.2023466036,4,4,True,0.3655418455600738,0.8087558394905039,medium
851,10756.760968750059,2,0,False,,,small
856,17538.316036047356,1,0,False,,,medium
858,9713.034892331267,2,0,False,,,small
865,11746.759668978997,2,0,False,,,small
866,252718.78935248763,1,0,False,,,large
867,83009.33291407992,4,0,False,,,medium
869,9520.111815101345,2,0,False,,,small
871,106113.90660746951,2,2,True,0.2122006267309188,0.8903451349203239,medium
872,56145.45852391448,2,0,False,,,medium
876,20917.594726713156,2,0,False,,,medium
890,155557.12940550997,2,1,True,0.1676608473062515,0.6233802008393453,large
895,16983.72411321663,1,0,False,,,medium
902,34534.18286850715,1,0,False,,,medium
905,31106.31362061006,2,0,False,,,medium
906,80164.346735425,1,1,True,0.1261955052614212,0.8965477822101414,medium
913,112539.15776308904,1,0,False,,,medium
918,5509.016994377382,4,0,False,,,small
921,159735.72936114567,1,0,False,,,large
923,118319.92979662775,1,1,True,0.2449068427085876,0.7804719566252583,medium
930,259391.7338632271,2,0,False,,,large
933,313867.4822857336,1,0,False,,,large
937,47579.6724194418,1,0,False,,,medium
968,18007.514365162802,3,0,False,,,medium
973,12635.328799997153,2,0,False,,,small
977,49365.315535338494,2,0,False,,,medium
981,117691.78577100548,1,0,False,,,medium
982,16231.569067446319,4,0,False,,,small
988,82876.68666340968,1,1,True,0.3033372461795807,0.7676065396320142,medium
991,73320.68061570945,2,0,False,,,medium
992,81788.45124794084,2,0,False,,,medium
997,4809.016994377382,1,0,False,,,small
1002,129147.77010491113,4,4,True,0.5182222127914429,0.6116180090186513,medium
1007,8286.271242971732,1,0,False,,,small
1009,8164.517670541951,2,0,False,,,small
1028,19553.956445168245,2,0,False,,,medium
1036,12465.8764511711,1,0,False,,,small
