polygon_id,area_m2,tile_instances,matched_instances,detected,maximum_matched_confidence,maximum_matched_iou,size_class
306,229178.56527652728,2,2,True,0.6681109666824341,0.7244665526785864,large
328,234116.9108587731,1,1,True,0.6141400337219238,0.7071867436438952,large
356,67740.18582186656,2,0,False,,,medium
362,18021.49553318887,2,0,False,,,medium
384,52838.628208722585,2,0,False,,,medium
386,9921.420759598685,1,0,False,,,small
388,123606.40223094838,2,2,True,0.5520761013031006,0.6173658819760881,medium
396,168203.10553916977,2,0,False,,,large
399,13561.923988925619,1,0,False,,,small
409,46482.11995547833,1,0,False,,,medium
414,81976.94386879592,2,1,True,0.1960105150938034,0.5137056140288236,medium
474,78214.14784459214,1,0,False,,,medium
487,14527.09036962823,1,0,False,,,small
490,22199.523787486658,1,0,False,,,medium
494,62344.964058206126,1,1,True,0.1030818074941635,0.6341997129156528,medium
496,26529.576794551198,1,0,False,,,medium
507,64803.85131190704,2,1,True,0.1038636937737464,0.5098047772818112,medium
513,60473.644766463454,2,0,False,,,medium
526,96095.26191006697,1,0,False,,,medium
527,13615.193496924976,1,0,False,,,small
534,122733.54669005542,2,2,True,0.7363648414611816,0.5701403868971473,medium
542,9481.965495626553,2,0,False,,,small
548,11369.273596435154,1,0,False,,,small
549,14096.085042464936,1,0,False,,,small
550,33928.61806307524,2,0,False,,,medium
552,4809.016994377382,2,0,False,,,small
557,49628.02272572987,1,0,False,,,medium
575,86987.32949098638,2,0,False,,,medium
592,146236.54469368432,1,0,False,,,large
609,32303.363352227047,1,0,False,,,medium
613,60193.21120571655,1,0,False,,,medium
616,160493.00407867227,2,0,False,,,large
626,92996.3902125538,1,0,False,,,medium
632,50060.70338776474,1,0,False,,,medium
637,12543.509956889877,1,0,False,,,small
642,5509.016994377382,2,0,False,,,small
646,70288.58847163118,2,0,False,,,medium
653,5509.016994377382,2,0,False,,,small
664,85730.83836167824,1,0,False,,,medium
667,51092.25504954303,2,0,False,,,medium
669,211492.11326959476,1,1,True,0.2069445252418518,0.5427397659830343,large
688,120514.27210513178,2,0,False,,,medium
692,354238.0185711269,2,2,True,0.1597602814435959,0.6008153621049805,large
704,4809.016994377382,4,0,False,,,small
715,36169.32104806138,2,0,False,,,medium
725,127486.96923299354,2,1,True,0.1002582982182502,0.6836208161787478,medium
729,11671.72936705498,2,0,False,,,small
759,113685.57999551148,2,1,True,0.1983280330896377,0.5578879107640783,medium
770,6223.106125343956,1,0,False,,,small
779,157108.19841968382,3,3,True,0.6307051181793213,0.6850206793531795,large
798,186136.85268261522,4,4,True,0.1198101490736007,0.7261756383374638,large
799,48000.99896529167,1,0,False,,,medium
803,113037.4722086421,2,1,True,0.2252797782421112,0.5691415635345197,medium
809,100803.50005308313,1,0,False,,,medium
812,153470.31083929213,1,1,True,0.4343982934951782,0.6675403450125421,large
817,112551.18261730163,1,0,False,,,medium
819,221643.11042353124,1,0,False,,,large
824,33287.39265307557,2,0,False,,,medium
843,8043.315808462221,4,0,False,,,small
844,7566.061559860668,1,0,False,,,small
846,71573.2023466036,1,1,True,0.1833828091621399,0.7157168019413965,medium
851,10756.760968750059,4,0,False,,,small
856,17538.316036047356,4,0,False,,,medium
858,9713.034892331267,1,0,False,,,small
865,11746.759668978997,4,0,False,,,small
866,252718.78935248763,1,1,True,0.1017668023705482,0.5682231895509728,large
867,83009.33291407992,1,0,False,,,medium
869,9520.111815101345,4,0,False,,,small
871,106113.90660746951,1,1,True,0.1849665641784668,0.6761618099298676,medium
872,56145.45852391448,2,0,False,,,medium
876,20917.594726713156,2,0,False,,,medium
890,155557.12940550997,1,1,True,0.3958812355995178,0.7060135280178622,large
895,16983.72411321663,1,0,False,,,medium
902,34534.18286850715,1,0,False,,,medium
905,31106.31362061006,2,0,False,,,medium
906,80164.346735425,2,2,True,0.3362550735473633,0.6177002300156855,medium
913,112539.15776308904,2,0,False,,,medium
918,5509.016994377382,1,0,False,,,small
921,159735.72936114567,2,0,False,,,large
923,118319.92979662775,1,1,True,0.291488766670227,0.7090088684681434,medium
930,259391.7338632271,1,0,False,,,large
933,313867.4822857336,1,0,False,,,large
937,47579.6724194418,2,0,False,,,medium
968,18007.514365162802,4,0,False,,,medium
973,12635.328799997153,1,0,False,,,small
977,49365.315535338494,2,2,True,0.1051462665200233,0.674483293652957,medium
981,117691.78577100548,2,0,False,,,medium
982,16231.569067446319,2,0,False,,,small
988,82876.68666340968,1,1,True,0.3729000687599182,0.6781459772473977,medium
991,73320.68061570945,2,2,True,0.1559304594993591,0.8086763772122201,medium
992,81788.45124794084,1,0,False,,,medium
997,4809.016994377382,1,0,False,,,small
1002,129147.77010491113,1,1,True,0.7158528566360474,0.5180441464123171,medium
1007,8286.271242971732,1,0,False,,,small
1009,8164.517670541951,1,0,False,,,small
1028,19553.956445168245,1,0,False,,,medium
1036,12465.8764511711,2,0,False,,,small
1037,13972.495384794782,1,0,False,,,small
1038,187173.57305615008,2,0,False,,,large
1043,67366.9294769762,2,2,True,0.1114301979541778,0.632596186637534,medium
1053,119868.10798974334,2,2,True,0.668354332447052,0.6363806993187319,medium
1058,67892.38861968221,1,1,True,0.6475562453269958,0.5219705186091645,medium
1059,50878.23237220999,1,0,False,,,medium
1063,125555.61934087555,1,0,False,,,medium
1067,26947.43848384871,2,0,False,,,medium
1069,15975.01780058441,1,0,False,,,small
1076,109166.73061874404,2,0,False,,,medium
1077,26894.63243094279,1,0,False,,,medium
1083,228380.7073835016,1,1,True,0.627393364906311,0.5137288057168924,large
1085,9530.4305648951,2,0,False,,,small
1089,4809.016994377382,2,0,False,,,small
1094,50489.58746112819,1,0,False,,,medium
1096,539216.9066353627,2,2,True,0.4047539532184601,0.8490398357023833,large
1098,23937.04408630202,2,0,False,,,medium
1104,113951.7971597399,2,0,False,,,medium
1106,18512.181992350943,2,0,False,,,medium
1112,12020.190440356024,2,0,False,,,small
1120,22358.86746334144,2,0,False,,,medium
1138,57202.178557492894,1,0,False,,,medium
1145,14721.051479018164,2,0,False,,,small
1152,256438.49960946408,4,0,False,,,large
1160,8792.44923336134,1,0,False,,,small
1185,139877.04864384845,1,1,True,0.6711058616638184,0.5507829408020369,large
1199,14899.170978027252,2,0,False,,,small
1207,38997.74175286007,2,0,False,,,medium
1208,8098.42916217991,2,0,False,,,small
1213,89734.77002066569,2,1,True,0.1304639279842376,0.7765553585007782,medium
1214,5509.016994377382,2,0,False,,,small
1217,169750.92969812863,4,3,True,0.1456368267536163,0.6016693219743574,large
1233,5509.016994377382,2,0,False,,,small
1237,4809.016994377382,1,0,False,,,small
1239,6274.325243408479,2,0,False,,,small
1243,76856.45413797276,1,1,True,0.1497004479169845,0.6170882145565835,medium
1252,7566.061559860667,1,0,False,,,small
1255,121589.83226164895,2,2,True,0.1271314024925232,0.5288442443949221,medium
1257,85623.26999967608,2,0,False,,,medium
1265,125362.98263912526,1,1,True,0.2290530502796173,0.6992461372637878,medium
1269,113984.92607493735,2,2,True,0.7145739793777466,0.6128146765897521,medium
1274,73162.79291219925,1,0,False,,,medium
1275,32989.753457011364,1,0,False,,,medium
1292,465839.734352773,4,4,True,0.7343683242797852,0.6193681912705412,large
1296,16356.400760228024,1,0,False,,,small
1319,6223.106125343957,2,0,False,,,small
1320,8022.935720802392,4,0,False,,,small
1322,28043.636759949535,4,0,False,,,medium
1323,7580.567675369154,2,0,False,,,small
1332,67498.79434667743,2,0,False,,,medium
1342,9584.531677513862,4,0,False,,,small
